re = 885
DHT_Temperature  (C) = 24.00
Light intensity = 444.00
Soil Moisture = 893
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 519.00
Soil Moisture = 893
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 517.00
Soil Moisture = 885
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 24.00
Light intensity = 431.00
Soil Moisture = 890
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 24.00
Light intensity = 426.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 517.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 487.00
Soil Moisture = 894
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 433.00
Soil Moisture = 901
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 519.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 521.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 520.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 520.00
Soil Moisture = 894
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 520.00
Soil Moisture = 184
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 521.00
Soil Moisture = 886
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 521.00
Soil Moisture = 62
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 521.00
Soil Moisture = 886
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 520.00
Soil Moisture = 53
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 520.00
Soil Moisture = 737
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 522.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 527.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 526.00
Soil Moisture = 80
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 528.00
Soil Moisture = 110
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 27.00
Light intensity = 525.00
Soil Moisture = 104
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 518.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 534.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 534.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 518.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 445.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 54.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 60.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 26.00
Light intensity = 56.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 58.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 45.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 75.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 133.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 52.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 39.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 160.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 513.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 42.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 283.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 524.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 524.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 300.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 138.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 246.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 25.00
Light intensity = 192.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 24.00
Light intensity = 112.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 95.00
DHT_Temperature  (C) = 24.00
Light intensity = 482.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 85.00
DHT_Temperature  (C) = 24.00
Light intensity = 508.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 85.00
DHT_Temperature  (C) = 24.00
Light intensity = 518.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 79.00
DHT_Temperature  (C) = 24.00
Light intensity = 491.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 79.00
DHT_Temperature  (C) = 24.00
Light intensity = 466.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 76.00
DHT_Temperature  (C) = 24.00
Light intensity = 248.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 76.00
DHT_Temperature  (C) = 24.00
Light intensity = 134.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 73.00
DHT_Temperature  (C) = 24.00
Light intensity = 79.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 73.00
DHT_Temperature  (C) = 24.00
Light intensity = 70.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 70.00
DHT_Temperature  (C) = 24.00
Light intensity = 100.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 70.00
DHT_Temperature  (C) = 24.00
Light intensity = 79.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 67.00
DHT_Temperature  (C) = 24.00
Light intensity = 73.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 67.00
DHT_Temperature  (C) = 24.00
Light intensity = 99.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 63.00
DHT_Temperature  (C) = 24.00
Light intensity = 127.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 63.00
DHT_Temperature  (C) = 24.00
Light intensity = 143.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 60.00
DHT_Temperature  (C) = 24.00
Light intensity = 103.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 60.00
DHT_Temperature  (C) = 24.00
Light intensity = 493.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 57.00
DHT_Temperature  (C) = 24.00
Light intensity = 494.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 57.00
DHT_Temperature  (C) = 24.00
Light intensity = 417.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 54.00
DHT_Temperature  (C) = 24.00
Light intensity = 166.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 54.00
DHT_Temperature  (C) = 24.00
Light intensity = 143.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 50.00
DHT_Temperature  (C) = 24.00
Light intensity = 149.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 50.00
DHT_Temperature  (C) = 24.00
Light intensity = 147.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 48.00
DHT_Temperature  (C) = 24.00
Light intensity = 147.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 48.00
DHT_Temperature  (C) = 24.00
Light intensity = 146.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 45.00
DHT_Temperature  (C) = 24.00
Light intensity = 147.00
Soil Moisture = 306
Door State = Opened
Humidity (%) = 45.00
DHT_Temperature  (C) = 24.00
Light intensity = 146.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 43.00
DHT_Temperature  (C) = 24.00
Light intensity = 149.00
Soil Moisture = 860
Door State = Opened
Humidity (%) = 43.00
DHT_Temperature  (C) = 24.00
Light intensity = 153.00
Soil Moisture = 878
Door State = Opened
Humidity (%) = 41.00
DHT_Temperature  (C) = 24.00
Light intensity = 150.00
Soil Moisture = 28
Door State = Opened
Humidity (%) = 41.00
DHT_Temperature  (C) = 24.00
Light intensity = 152.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 38.00
DHT_Temperature  (C) = 24.00
Light intensity = 148.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 38.00
DHT_Temperature  (C) = 24.00
Light intensity = 144.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 36.00
DHT_Temperature  (C) = 24.00
Light intensity = 144.00
Soil Moisture = 75
Door State = Opened
Humidity (%) = 36.00
DHT_Temperature  (C) = 24.00
Light intensity = 144.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 34.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 37
Door State = Opened
Humidity (%) = 34.00
DHT_Temperature  (C) = 24.00
Light intensity = 143.00
Soil Moisture = 27
Door State = Opened
Humidity (%) = 32.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 114
Door State = Opened
Humidity (%) = 32.00
DHT_Temperature  (C) = 24.00
Light intensity = 143.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 31.00
DHT_Temperature  (C) = 24.00
Light intensity = 144.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 31.00
DHT_Temperature  (C) = 24.00
Light intensity = 158.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 24.00
Light intensity = 147.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 24.00
Light intensity = 145.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 24.00
Light intensity = 144.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 29.00
DHT_Temperature  (C) = 24.00
Light intensity = 143.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 28.00
DHT_Temperature  (C) = 24.00
Light intensity = 144.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 28.00
DHT_Temperature  (C) = 24.00
Light intensity = 146.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 27.00
DHT_Temperature  (C) = 24.00
Light intensity = 146.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 27.00
DHT_Temperature  (C) = 24.00
Light intensity = 145.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 26.00
DHT_Temperature  (C) = 24.00
Light intensity = 144.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 26.00
DHT_Temperature  (C) = 24.00
Light intensity = 145.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 24.00
Light intensity = 149.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 25.00
DHT_Temperature  (C) = 24.00
Light intensity = 154.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 24.00
DHT_Temperature  (C) = 24.00
Light intensity = 152.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 24.00
DHT_Temperature  (C) = 24.00
Light intensity = 139.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 24.00
Light intensity = 139.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 23.00
DHT_Temperature  (C) = 24.00
Light intensity = 138.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 36.00
DHT_Temperature  (C) = 24.00
Light intensity = 138.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 36.00
DHT_Temperature  (C) = 24.00
Light intensity = 144.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 47.00
DHT_Temperature  (C) = 24.00
Light intensity = 150.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 47.00
DHT_Temperature  (C) = 24.00
Light intensity = 150.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 34.00
DHT_Temperature  (C) = 24.00
Light intensity = 141.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 34.00
DHT_Temperature  (C) = 24.00
Light intensity = 143.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 35.00
DHT_Temperature  (C) = 24.00
Light intensity = 135.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 35.00
DHT_Temperature  (C) = 24.00
Light intensity = 141.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 35.00
DHT_Temperature  (C) = 24.00
Light intensity = 141.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 35.00
DHT_Temperature  (C) = 24.00
Light intensity = 143.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 36.00
DHT_Temperature  (C) = 24.00
Light intensity = 141.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 36.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 44.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 44.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 50.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 50.00
DHT_Temperature  (C) = 24.00
Light intensity = 143.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 54.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 54.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 57.00
DHT_Temperature  (C) = 24.00
Light intensity = 143.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 57.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 60.00
DHT_Temperature  (C) = 24.00
Light intensity = 142.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 60.00
DHT_Temperature  (C) = 24.00
Light intensity = 140.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 62.00
DHT_Temperature  (C) = 24.00
Light intensity = 364.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 62.00
DHT_Temperature  (C) = 24.00
Light intensity = 365.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 65.00
DHT_Temperature  (C) = 23.00
Light intensity = 366.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 65.00
DHT_Temperature  (C) = 23.00
Light intensity = 358.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 67.00
DHT_Temperature  (C) = 23.00
Light intensity = 363.00
Soil Moisture = 17
Door State = Opened
Humidity (%) = 67.00
DHT_Temperature  (C) = 23.00
Light intensity = 363.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 68.00
DHT_Temperature  (C) = 23.00
Light intensity = 364.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 68.00
DHT_Temperature  (C) = 23.00
Light intensity = 364.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 70.00
DHT_Temperature  (C) = 23.00
Light intensity = 436.00
Soil Moisture = 19
Door State = Opened
Humidity (%) = 70.00
DHT_Temperature  (C) = 23.00
Light intensity = 493.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 68.00
DHT_Temperature  (C) = 23.00
Light intensity = 501.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 68.00
DHT_Temperature  (C) = 23.00
Light intensity = 499.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 61.00
DHT_Temperature  (C) = 23.00
Light intensity = 388.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 61.00
DHT_Temperature  (C) = 23.00
Light intensity = 399.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 63.00
DHT_Temperature  (C) = 23.00
Light intensity = 381.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 63.00
DHT_Temperature  (C) = 23.00
Light intensity = 385.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 68.00
DHT_Temperature  (C) = 23.00
Light intensity = 503.00
Soil Moisture = 18
Door State = Opened
Humidity (%) = 68.00
DHT_Temperature  (C) = 23.00
Light intensity = 546.00
Soil Moisture = 18
Door State = Opened
