Watchdog Demo Starting
DHT_Temperature  (C) = 24.00
Light intensity = 505.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 509.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 492.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 207.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 239.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 511.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 504.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 510.00
Soil Moisture = 894
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 653
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 898
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 897
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 517.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 346.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 330.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 299.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 285.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 272.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 280.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 512.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 255.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 474.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 420.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 166.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 170.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 195.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 196.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 204.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 178.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 177.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 322.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 538.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 549.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 554.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 554.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 554.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 552.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 543.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 510.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 512.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 53.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 35.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 35.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 37.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 36.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 63.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 237.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 167.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 76.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 51.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 49.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 48.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 47.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 47.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 517.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 508.00
Soil Moisture = 899
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 525.00
Soil Moisture = 892
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 894
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 105
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 44
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 83
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 119
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 55
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 836
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 893
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 892
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 316
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 359
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 891
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 98
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 94
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 143
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 323
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 19
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 284
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 193
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 57
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 106
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 24
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 380
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 889
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 891
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 894
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 893
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 894
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 878
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 877
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 877
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 877
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 877
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 531.00
Soil Moisture = 877
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 97.00
Soil Moisture = 877
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 147.00
Soil Moisture = 877
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 172.00
Soil Moisture = 873
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 517.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 883
Door State = Opened
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 519.00
Soil Moisture = 19
Door State = Opened
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 476.00
Soil Moisture = 209
Door State = Opened
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 544.00
Soil Moisture = 156
Door State = Opened
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 506.00
Soil Moisture = 118
Door State = Opened
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 488.00
Soil Moisture = 19
Door State = Opened
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 521.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 19
Door State = Closed
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 522.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 164
Door State = Closed
Humidity (%) = 15.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 19
Door State = Closed
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 522.00
Soil Moisture = 19
Door State = Closed
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 522.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 521.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 489.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 465.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 469.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 472.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 494.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 521.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 521.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 521.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 528.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 530.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 530.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 530.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 530.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 530.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 529.00
Soil Moisture = 20
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 490.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 555.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 556.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 552.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 553.00
Soil Moisture = 20
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 546.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 545.00
Soil Moisture = 896
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 546.00
Soil Moisture = 890
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 547.00
Soil Moisture = 890
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 547.00
Soil Moisture = 889
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 547.00
Soil Moisture = 888
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 550.00
Soil Moisture = 889
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 552.00
Soil Moisture = 888
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 552.00
Soil Moisture = 888
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 552.00
Soil Moisture = 888
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 552.00
Soil Moisture = 888
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 552.00
Soil Moisture = 888
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 551.00
Soil Moisture = 888
Door State = Opened
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 551.00
Soil Moisture = 887
Door State = Opened
Humidity (%) = 12.00
